name,brand,model,version,nbDoor,nbSeats,turningCircle,turningRadius,length,width,widthWSideMirror,height,wheelbase,wheelTrackFront,trackWidthRear,Clearance,luggageCapacity,luggageMin
Mercedes Klasa B W245,mercedes,klasa-b,w245,5,5,11.9 m,6.0 m,4270 mm,1777 mm,1975 mm,1603 mm,2778 mm,1556 mm,1551 mm,842 mm,650 mm,119 mm
Mercedes Klasa A W168,mercedes,klasa-a,w168,5,5,10.2 m,5.1 m,3575 mm,1719 mm,1575 mm,2423 mm,1503 mm,1452 mm,575 mm,577 mm,92 mm,528 mm
Mercedes Klasa V W639,mercedes,klasa-v,w639,4,6,4660 mm,1880 mm,2180 mm,1844 mm,3000 mm,1620 mm,1630 mm,809 mm,849 mm,512 mm,1036 mm,1050 mm
Mercedes Klasa G W461,mercedes,klasa-g,w461,3,5,4662 mm,1760 mm,2007 mm,1931 mm,2116 mm,2850 mm,1475 mm,1475 mm,783 mm,820 mm,205 mm,460 mm
Mercedes Maybach S II,mercedes,maybach-s,ii,4,4,12.4 m,6.2 m,5469 mm,1921 mm,2109 mm,1510 mm,3396 mm,1655 mm,1683 mm,877 mm,1196 mm,130 mm
"Mercedes Klasa S W126 Sedan 3.8 SE,SEL 218KM 1980",mercedes,klasa-s,w116,4,5,4960 mm,1870 mm,3530 mm,1425 mm,1610 mm,1970 mm,2865 mm,1525 mm,1505 mm,945 mm,1250 mm,140 mm
Land Rover Range Rover Sport I,land-rover,range-rover-sport,i,5,5,11.5 m,5.8 m,4783 mm,2158 mm,2004 mm,1789 mm,2745 mm,1605 mm,1612 mm,172 mm,227 mm,977 mm
Mercedes EQV A2,mercedes,eqv,a2,5,8,12.5 m,6.2 m,5140 mm,1925 mm,1880 mm,3200 mm,895 mm,1045 mm,145 mm,1030 l,14.7 °,11.5 °
Land Rover Freelander II,land-rover,freelander,ii,5,11.3 m,4500 mm,2195 mm,2005 mm,1740 mm,1830 mm,1765 mm,2660 mm,1611 mm,1624 mm,210 mm,990 mm,1020 mm
Land Rover Range Rover Velar SUV,land-rover,range-rover-velar,suv,5,5,11.6 m,5.8 m,4803 mm,2145 mm,2032 mm,1660 mm,1657 mm,1685 mm,2874 mm,1640 mm,1657 mm,970 mm
Mercedes GLB SUV 1.3 180 136KM 2022,glb,suv-amg,silnik-benzynowy-35-2.0-306km-od-2019,5,5,11.8 m,4634 mm,1834 mm,2020 mm,1658 mm,2829 mm,1605 mm,1606 mm,905 mm,900 mm,220 mm,1805 l
Mercedes EQV A3,mercedes,eqv,a3,5,8,12.5 m,6.2 m,5370 mm,1925 mm,1880 mm,3430 mm,895 mm,1045 mm,145 mm,1410 l,14.7 °,10.2 °
Mercedes GLC C253 SUV Facelifting 2.0 200d 163KM 2022,mercedes,glc,x254,5,5,11.0 m,5.5 m,4716 mm,1890 mm,2075 mm,1640 mm,2888 mm,1627 mm,1640 mm,180 mm,1640 l,620 l
Land Rover Range Rover III,land-rover,range-rover,iii,5,5,12.6 m,6.3 m,4972 mm,2216 mm,2034 mm,1877 mm,2880 mm,1629 mm,1625 mm,231 mm,283 mm,997 mm
Land Rover Range Rover Velar SUV 2.0 204KM 2021,range-rover-velar,suv-phev,silnik-hybrydowy-2.0-404km-od-2020,5,5,11.6 m,4803 mm,2145 mm,2032 mm,1660 mm,1685 mm,2874 mm,1640 mm,1657 mm,970 mm,945 mm,966 mm
Land Rover Discovery III 2007,land-rover,discovery,ii,5,7,4520 mm,1795 mm,1883 mm,2540 mm,1540 mm,1560 mm,253 mm,1012 mm,1019 mm,1481 mm,1455 mm,1993 l
Land Rover Discovery IV 3.0 D 255KM 2015,land-rover,discovery,iv,5,5,11.4 m,4829 mm,2176 mm,2022 mm,1837 mm,1841 mm,1888 mm,2885 mm,1605 mm,1612 mm,310 mm,1078 mm
Mercedes GLB SUV,mercedes,glb,suv,5,5,11.8 m,5.8 m,4634 mm,1834 mm,2020 mm,1658 mm,2829 mm,1605 mm,1606 mm,905 mm,900 mm,220 mm
Land Rover Discovery Sport SUV Facelifting,land-rover,discovery-sport,suv-facelifting,5,5,11.8 m,5.9 m,4597 mm,2069 mm,2173 mm,2069 mm,1727 mm,2741 mm,1625 mm,1623 mm,901 mm,955 mm
Mercedes EQS Limuzyna,mercedes,eqs,limuzyna,4,5,11.9 m,6.0 m,5216 mm,1926 mm,2125 mm,1926 mm,1512 mm,3210 mm,1667 mm,1682 mm,915 mm,1091 mm
Land Rover Discovery III,land-rover,discovery,iii,5,7,12.1 m,6.0 m,4835 mm,1915 mm,2190 mm,2009 mm,1887 mm,2885 mm,1605 mm,1612 mm,158 mm,250 mm
Mercedes EQS Limuzyna AMG 53 AMG 658KM 484kW od 2021,eqs,limuzyna-amg,silnik-elektryczny-53-amg-658km-od-2021,5,5,12.1 m,5223 mm,1926 mm,2125 mm,1520 mm,3210 mm,1660 mm,1653 mm,922 mm,1091 mm,139 mm,1770 l
Land Rover Discovery Sport SUV 2.0 eD4 150KM 2016,land-rover,discovery-sport,suv,5,5,11.6 m,5.8 m,4599 mm,2069 mm,2173 mm,1724 mm,2741 mm,1621 mm,1630 mm,212 mm,212 mm,1021 mm
Land Rover Discovery Sport SUV Facelifting 2.0 P I4 200KM 2021,discovery-sport,suv-hybrid,silnik-hybrydowy-1.5-p300e-309km-od-2020,5,5,11.8 m,4597 mm,2173 mm,2069 mm,1727 mm,2741 mm,1625 mm,1630 mm,901 mm,955 mm,212 mm,1698 l
Mercedes AMG GT Coupe,mercedes,amg-gt,coupe,2,2,4546 mm,1939 mm,2075 mm,1288 mm,2630 mm,1680 mm,1651 mm,900 mm,1016 mm,380 mm,1003 mm,538 mm
Opel Meriva I,opel,meriva,i,5,5,10.8 m,5.4 m,4042 mm,1694 mm,1948 mm,1624 mm,2630 mm,1449 mm,1464 mm,165 mm,1410 l,350 l
