name,brand,model,version,nbDoor,nbSeats,turningCircle,turningRadius,length,width,widthWSideMirror,height,wheelbase,wheelTrackFront,trackWidthRear,Clearance,luggageCapacity,luggageMin
Maybach 62 X223,maybach,62,x223,4,4,13.4 m,6.7 m,5469 mm,1921 mm,2109 mm,1510 mm,3396 mm,1655 mm,1683 mm,877 mm,1196 mm,145 mm
LDV Maxus Furgon,ldv,maxus,furgon,4,12.4 m,4920 mm,1991 mm,2383 mm,2070 mm,3100 mm,835 mm,985 mm,1555 mm,1090 mm,1595 mm,2586 mm,1770 mm
Maserati GranSport Coupe 4.2 i V8 32V 400KM 294kW 2004-2007,gransport,coupe,silnik-benzynowy-4.2-i-v8-32v-400km-2004-2007,2,4,12.0 m,4523 mm,1822 mm,1295 mm,2660 mm,1525 mm,1538 mm,315 l,od 2004 do 2007 roku,4244 cm³,benzynowy,400 
Lotus Exige S Roadster 3.5 DOHC V6 VVT-i 350KM 257kW od 2011,exige-s,roadster,silnik-benzynowy-3.5-dohc-v6-vvt-i-350km-od-2011,2,2,4084 mm,1802 mm,1129 mm,2370 mm,od 2011 roku,3456 cm³,benzynowy,350 , (257 ,) przy 7000 obr/min,400 , przy 4500 obr/min
Lotus Europa II 2.0 T 203KM 149kW od 2006,europa,ii,silnik-benzynowy-2.0-t-203km-od-2006,2,2,3900 mm,1714 mm,1120 mm,2330 mm,1457 mm,1490 mm,154 l,od 2006 roku,1998 cm³,benzynowy,203 , (149 
Maserati GranSport Cabrio 4.2 i V8 32V 400KM 294kW 2004-2007,gransport,cabrio,silnik-benzynowy-4.2-i-v8-32v-400km-2004-2007,2,4,11.5 m,4303 mm,1822 mm,1295 mm,2440 mm,1525 mm,1538 mm,300 l,od 2004 do 2007 roku,4244 cm³,benzynowy,400 
Lotus Exige S Coupe 3.5 DOHC V6 VVT-i 350KM 257kW od 2011,exige-s,coupe,silnik-benzynowy-3.5-dohc-v6-vvt-i-350km-od-2011,2,2,4084 mm,1802 mm,1129 mm,2370 mm,od 2011 roku,3456 cm³,benzynowy,350 , (257 ,) przy 7000 obr/min,400 , przy 4500 obr/min
Man TGE Furgon,man,tge,furgon,5,3,13.6 m,6.8 m,5986 mm,2040 mm,2427 mm,2355 mm,3640 mm,1000 mm,1346 mm,200 mm,570 mm,3450 mm
Lotus Europa I 1.6 106KM 78kW 1966-1976,europa,i,silnik-benzynowy-1.6-106km-1966-1976,2,2,13.0 m,3960 mm,1630 mm,1070 mm,2311 mm,1346 mm,1346 mm,140 mm,od 1966 do 1976 roku,1558 cm³,benzynowy,106 
Lincoln Town Car II,lincoln,town-car,ii,4,5,12.1 m,5558 mm,1984 mm,1440 mm,2982 mm,1595 mm,1608 mm,993 mm,965 mm,1575 mm,1575 mm,1453 mm
Lincoln Town Car III,lincoln,town-car,iii,4,5,12.9 m,5471 mm,1987 mm,1499 mm,2990 mm,1611 mm,1673 mm,137 mm,1001 mm,950 mm,1532 mm,1521 mm
Microcar MGo Hatchback Family,microcar,mgo,hatchback-family,3,4,8.2 m,4.1 m,3026 mm,1673 mm,1553 mm,2020 mm,1294 mm,1307 mm,522 mm,175 mm,830 mm,1295 mm
Man TGE e Furgon 36 kWh 136KM 100kW od 2021,tge,e-furgon,silnik-elektryczny-36-kwh-136km-od-2021,5,3,13.6 m,6.8 m,5986 mm,2040 mm,2427 mm,2590 mm,3640 mm,1000 mm,1346 mm,200 mm,570 mm,3450 mm
Lincoln Town Car I 5.0 152KM 112kW 1981-1989,town-car,i,silnik-benzynowy-5.0-152km-1981-1989,4,5,12.1 m,5563 mm,1984 mm,1420 mm,2979 mm,1580 mm,1575 mm,991 mm,970 mm,1542 mm,1542 mm,1435 mm
Microcar Flex Furgon otwarty 0.5 5KM 4kW 2015-2019,flex,furgon-otwarty,silnik-diesla-0.5-5km-2015-2019,2,2,3643 mm,1765 mm,1768 mm,2400 mm,1309 mm,1309 mm,433 mm,497 mm,1626 mm,1531 mm,200 kg,od 2015 do 2019 roku
Maybach 57 Limuzyna Facelifting,maybach,57,limuzyna-facelifting,4,5,5734 mm,1980 mm,2151 mm,1572 mm,3390 mm,1675 mm,1695 mm,1020 mm,1324 mm,520 mm,985 mm,566 mm
Maybach 57 Limuzyna,maybach,57,limuzyna,4,5,5728 mm,1968 mm,2134 mm,1572 mm,3390 mm,1675 mm,1695 mm,1014 mm,1324 mm,985 mm,1133 mm,1003 mm
Lancia Ypsilon II,lancia,ypsilon,ii,3,5,3741 mm,1690 mm,1435 mm,2380 mm,1410 mm,1395 mm,795 mm,584 mm,495 mm,613 mm,978 mm,490 mm
Lancia Dedra Sedan,lancia,dedra,sedan,4,5,4343 mm,1700 mm,1430 mm,2540 mm,1449 mm,1411 mm,881 mm,922 mm,520 mm,600 mm,953 mm,520 mm
Maybach 57 Limuzyna Facelifting 2017,maybach,57,limuzyna-facelifting-2017,4,4,12.9 m,6.5 m,5462 mm,1899 mm,2130 mm,1498 mm,3365 mm,1634 mm,1632 mm,897 mm,1200 mm,490 mm
Lancia Kappa Sedan,lancia,kappa,sedan,4,5,4687 mm,1826 mm,1462 mm,2700 mm,1544 mm,1530 mm,947 mm,1040 mm,463 mm,600 mm,991 mm,480 mm
Lancia Delta II,lancia,delta,ii,5,5,4011 mm,1759 mm,1401 mm,2540 mm,1482 mm,1421 mm,838 mm,633 mm,530 mm,631 mm,953 mm,515 mm
Lancia Musa 2006,lancia,musa,mikrovan-seria-2,5,5,10.0 m,4035 mm,1698 mm,1660 mm,1688 mm,2508 mm,1444 mm,1431 mm,848 mm,679 mm,1488 l,390 l
Lancia Delta I,lancia,delta,i,5,5,3885 mm,1620 mm,1300 mm,2475 mm,1400 mm,1400 mm,740 mm,670 mm,420 mm,860 mm,630 mm,1335 mm
Lancia Kappa Coupe,lancia,kappa,coupe,2,5,4567 mm,1830 mm,1425 mm,2580 mm,1547 mm,1533 mm,947 mm,1040 mm,500 mm,617 mm,872 mm,684 mm
Lancia Kappa Kombi,lancia,kappa,kombi,5,5,4687 mm,1826 mm,1484 mm,2700 mm,1547 mm,1530 mm,947 mm,1040 mm,463 mm,600 mm,991 mm,480 mm
Lincoln LS I,lincoln,ls,i,4,5,12.1 m,4925 mm,1859 mm,1425 mm,2908 mm,1537 mm,1544 mm,1026 mm,952 mm,1466 mm,1448 mm,1346 mm
Lincoln LS II,lincoln,ls,ii,4,5,11.4 m,4938 mm,1859 mm,1433 mm,2908 mm,1537 mm,1544 mm,109 mm,1029 mm,950 mm,1463 mm,1448 mm
Lincoln Continental IV,lincoln,continental,iv,2,5918 mm,2022 mm,1402 mm,3231 mm,1633 mm,1633 mm,965 mm,968 mm,1554 mm,1521 mm,1422 mm,1532 mm,600 l
Lincoln Navigator I,lincoln,navigator,i,5,5,12.3 m,5202 mm,2027 mm,1847 mm,3023 mm,1661 mm,1664 mm,210 mm,1011 mm,1011 mm,1621 mm,1636 mm
Maserati Biturbo Coupe,maserati,biturbo,coupe,2,4,4153 mm,1705 mm,1305 mm,2514 mm,1420 mm,1431 mm,783 mm,856 mm,510 mm,900 mm,500 mm,690 mm
Lincoln Continental V,lincoln,continental,v,2,5565 mm,1984 mm,1407 mm,2979 mm,1580 mm,1575 mm,991 mm,965 mm,1542 mm,1542 mm,1438 mm,1448 mm,634 l
Maserati Quattroporte II,maserati,quattroporte,ii,4,5,11.8 m,5.9 m,5262 mm,1948 mm,2128 mm,1481 mm,3171 mm,1634 mm,1647 mm,968 mm,1123 mm,530 l
Lincoln Navigator II,lincoln,navigator,ii,5,8,11.8 m,5232 mm,2037 mm,1976 mm,3018 mm,1701 mm,1704 mm,218 mm,1006 mm,1008 mm,1608 mm,1610 mm
Maserati Biturbo Coupe Si 2.0 V6 Si 188KM 138kW 1981-1989,biturbo,coupe-si,silnik-benzynowy-2.0-v6-si-188km-1981-1989,2,4,4153 mm,1705 mm,1255 mm,2514 mm,1442 mm,1450 mm,783 mm,856 mm,510 mm,900 mm,500 mm,690 mm
Maserati Quattroporte I 4.2 i 400KM 294kW od 2003,quattroporte,i,silnik-benzynowy-4.2-i-400km-2003-2012,4,5,12.3 m,5097 mm,1895 mm,1438 mm,3064 mm,1582 mm,1595 mm,1572 mm,1562 mm,450 l,od 2003 do 2012 roku,4244 cm³
Lincoln Continental VIII 4.6 V8 32V 279KM 205kW 1995-1997,continental,viii,silnik-benzynowy-4.6-v8-32v-279km-1995-1997,4,5,5260 mm,1870 mm,1420 mm,2770 mm,1600 mm,1562 mm,150 mm,991 mm,996 mm,1450 mm,1438 mm,1415 mm
Lincoln Continental IX 4.6 V8 32V 279KM 205kW 1998-2003,continental,ix,silnik-benzynowy-4.6-v8-32v-279km-1998-2003,4,5,5296 mm,1869 mm,1422 mm,2769 mm,1600 mm,1562 mm,988 mm,965 mm,1450 mm,1438 mm,1417 mm,1438 mm
Łada Samara 2109,lada,samara,2109,5,5,4006 mm,1650 mm,1750 mm,1402 mm,2460 mm,1400 mm,1370 mm,761 mm,785 mm,210 mm,1000 l,270 l
Łada OKA II 0.75 35KM 26kW 1996-2008,oka,ii,silnik-benzynowy-0.75-35km-1996-2008,3,4,3210 mm,1430 mm,1410 mm,2190 mm,1210 mm,1200 mm,160 mm,630 l,210 l,od 1996 do 2008 roku,750 cm³,benzynowy
Łada OKA I 0.65 29KM 21kW 1990-1996,oka,i,silnik-benzynowy-0.65-29km-1990-1996,3,4,3200 mm,1420 mm,1565 mm,1400 mm,2180 mm,1210 mm,1200 mm,544 mm,650 l,210 l,od 1990 do 1996 roku,649 cm³
Łada 2107 2107 Sedan 1.5 72KM 53kW 1982-1990,2107,2107-sedan,silnik-benzynowy-1.5-72km-1982-1990,4,5,4145 mm,1620 mm,1680 mm,1446 mm,2424 mm,1365 mm,1321 mm,664 mm,1057 mm,325 l,od 1982 do 1990 roku,1451 cm³
Łada 2107 21072 Sedan 1.3 64KM 47kW 1982-1990,2107,21072-sedan,silnik-benzynowy-1.3-64km-1982-1990,4,5,4145 mm,1620 mm,1680 mm,1446 mm,2424 mm,1365 mm,1321 mm,664 mm,1057 mm,325 l,od 1982 do 1990 roku,1294 cm³
Łada Kalina Hatchback 1.6i 81KM 60kW 2006-2016,kalina,hatchback,silnik-benzynowy-1.6i-81km-2006-2016,5,5,3850 mm,1700 mm,1500 mm,2470 mm,1430 mm,1410 mm,740 mm,640 mm,235 l,od 2006 do 2016 roku,1596 cm³,benzynowy
Łada 2107 21073 Sedan 1.7 i 80KM 59kW 1996-2003,2107,21073-sedan,silnik-benzynowy-1.7-i-80km-1996-2003,4,5,4145 mm,1680 mm,1435 mm,2424 mm,1365 mm,1321 mm,664 mm,157 mm,911 mm,850 mm,325 l,33.0 °
Łada 2102 21021 Sedan 1.3 70KM 51kW 1971-1985,2102,21021-sedan,silnik-benzynowy-1.3-70km-1971-1985,5,5,4059 mm,1611 mm,1458 mm,2424 mm,1345 mm,1304 mm,1035 l,345 l,od 1971 do 1985 roku,1300 cm³,benzynowy,70 
Łada 2104 210413 Kombi 1.2 58KM 43kW 1984-1992,2104,210413-kombi,silnik-benzynowy-1.2-58km-1984-1992,5,5,4115 mm,1620 mm,1443 mm,2424 mm,1365 mm,1321 mm,1035 l,345 l,od 1984 do 1992 roku,1198 cm³,benzynowy,58 
Łada 2104 21045 Kombi 1.5 D 53KM 39kW 1999-2000,2104,21045-kombi,silnik-diesla-1.5-d-53km-1999-2000,5,5,4115 mm,1620 mm,1740 mm,1443 mm,2424 mm,1365 mm,1321 mm,651 mm,1040 mm,1145 l,345 l,od 1999 do 2000 roku
Isuzu Trooper III,isuzu,trooper,iii,3,5,4795 mm,1835 mm,1835 mm,2760 mm,1515 mm,1520 mm,210 mm,1011 mm,1011 mm,1455 mm,1455 mm,1770 mm
Łada 2104 21044 Kombi 1.7 79KM 58kW 1997-2003,2104,21044-kombi,silnik-benzynowy-1.7-79km-1997-2003,5,5,4115 mm,1620 mm,1740 mm,1443 mm,2424 mm,1365 mm,1321 mm,651 mm,1040 mm,1035 l,345 l,od 1997 do 2003 roku
Hummer H2 Pick Up 6.0 V8 329KM 242kW 2005-2010,h2,pick-up,silnik-benzynowy-6.0-v8-329km-2005-2010,4,5171 mm,2062 mm,2011 mm,3116 mm,1762 mm,1762 mm,246 mm,246 mm,40.8 °,25.8 °,38.1 °,od 2005 do 2010 roku,5967 cm³
Łada 2101 21011 1.3 70KM 51kW 1974-1988,2101,21011,silnik-benzynowy-1.3-70km-1974-1988,4,5,4043 mm,1611 mm,1382 mm,2424 mm,1343 mm,1305 mm,588 mm,1031 mm,325 l,od 1974 do 1988 roku,1300 cm³,benzynowy
Łada 2101 21013 1.2 64KM 47kW 1978-1988,2101,21013,silnik-benzynowy-1.2-64km-1978-1988,4,5,4043 mm,1611 mm,1382 mm,2424 mm,1349 mm,1305 mm,588 mm,1031 mm,325 l,od 1978 do 1988 roku,1198 cm³,benzynowy
Łada 2105 21051 Sedan 1.2 64KM 47kW 1981-1999,2105,21051-sedan,silnik-benzynowy-1.2-64km-1981-1999,4,5,4145 mm,1620 mm,1680 mm,1446 mm,2424 mm,1365 mm,1321 mm,664 mm,385 l,od 1981 do 1999 roku,1198 cm³,benzynowy
Łada 2105 21055 Kombi 1.5 D 53KM 39kW 1999-2000,2105,21055-kombi,silnik-diesla-1.5-d-53km-1999-2000,5,5,4128 mm,1620 mm,1443 mm,2420 mm,1365 mm,1321 mm,385 l,od 1999 do 2000 roku,1452 cm³,diesel,53 , (39 
Isuzu Rodeo Sport,isuzu,rodeo,sport,3,5,4262 mm,1788 mm,1704 mm,2460 mm,1514 mm,1519 mm,988 mm,947 mm,1430 mm,1415 mm,1765 mm,1390 mm
Iveco Daily II,iveco,daily,ii,4,7,6890 mm,2000 mm,2770 mm,3950 mm,1683 mm,1540 mm,960 mm,1980 mm,810 mm,1510 mm,1663 mm,1060 mm
Isuzu Gemini Sedan,isuzu,gemini,sedan,4,5,4035 mm,1615 mm,1380 mm,2400 mm,1390 mm,1390 mm,725 mm,765 mm,915 mm,905 mm,1340 mm,325 l
Isuzu Rodeo Standard,isuzu,rodeo,standard,5,5,4488 mm,1788 mm,1666 mm,2703 mm,1514 mm,1519 mm,988 mm,973 mm,1430 mm,1430 mm,2297 l,933 l
Isuzu Rodeo Sport Cabrio 2.2 i 16V 2WD 132KM 97kW 1998-2002,rodeo,sport-cabrio,silnik-benzynowy-2.2-i-16v-2wd-132km-1998-2002,3,5,4262 mm,1788 mm,1704 mm,2460 mm,1514 mm,1519 mm,988 mm,947 mm,1430 mm,1415 mm,1765 mm,1390 mm
Isuzu Amigo II,isuzu,amigo,ii,3,10.8 m,4262 mm,1788 mm,1692 mm,2460 mm,1514 mm,1519 mm,988 mm,947 mm,1430 mm,1415 mm,1765 mm,1390 mm
Isuzu Amigo I,isuzu,amigo,i,3,10.7 m,4170 mm,1780 mm,1655 mm,2330 mm,1495 mm,1500 mm,210 mm,965 mm,813 mm,1880 mm,1355 mm,1140 mm
Iveco Daily VI,iveco,daily,vi,4,3,11.0 m,5.5 m,5077 mm,1995 mm,2385 mm,3000 mm,1696 mm,1540 mm,998 mm,1079 mm,200 mm,1540 mm
Lamborghini Gallardo Coupe 5.0 i V10 40V 500KM 368kW 2003-2013,gallardo,coupe,silnik-benzynowy-5.0-i-v10-40v-500km-2003-2013,2,2,11.5 m,4300 mm,1900 mm,1116 mm,2560 mm,1622 mm,1592 mm,110 l,od 2003 do 2013 roku,4961 cm³,benzynowy,500 
Łada 2102 2102 Kombi,lada,2102,2102-kombi,5,5,4059 mm,1611 mm,1400 mm,2424 mm,1347 mm,1305 mm,603 mm,1032 mm,915 mm,390 mm,468 mm,870 mm
Lamborghini Gallardo Cabrio 5.0 i V10 40V 520KM 382kW 2005-2013,gallardo,cabrio,silnik-benzynowy-5.0-i-v10-40v-520km-2005-2013,2,2,11.5 m,4300 mm,1900 mm,1184 mm,2560 mm,1622 mm,1592 mm,110 l,od 2005 do 2013 roku,4961 cm³,benzynowy,520 
Lamborghini Diablo Cabrio 5.7 530KM 390kW 1998-2001,diablo,cabrio,silnik-benzynowy-5.7-530km-1998-2001,2,13.2 m,4460 mm,2040 mm,1105 mm,2650 mm,1540 mm,1640 mm,140 mm,od 1998 do 2001 roku,5707 cm³,benzynowy,530 , (390 
Lamborghini Miura Coupe 3.9 V12 415KM 305kW 1966-1975,miura,coupe,silnik-benzynowy-3.9-v12-415km-1966-1975,2,11.5 m,4360 mm,1760 mm,1050 mm,2500 mm,1420 mm,1420 mm,140 l,od 1966 do 1975 roku,3929 cm³,benzynowy,415 , (305 
Lamborghini Miura Cabrio 3.9 V12 350KM 257kW 1966-1975,miura,cabrio,silnik-benzynowy-3.9-v12-350km-1966-1975,2,11.5 m,4360 mm,1760 mm,1050 mm,2500 mm,1420 mm,1420 mm,140 l,od 1966 do 1975 roku,3929 cm³,benzynowy,350 , (257 
Łada 2103 21035 Sedan 1.2 64KM 47kW 1972-1983,2103,21035-sedan,silnik-benzynowy-1.2-64km-1972-1983,4,5,4116 mm,1611 mm,1440 mm,2424 mm,1365 mm,1321 mm,400 l,od 1972 do 1983 roku,1198 cm³,benzynowy,64 , (47 
Łada 2103 2103 Sedan 1.5 72KM 53kW 1972-1983,2103,2103-sedan,silnik-benzynowy-1.5-72km-1972-1983,4,5,4116 mm,1611 mm,1388 mm,2424 mm,1365 mm,1321 mm,628 mm,1064 mm,400 l,od 1972 do 1983 roku,1458 cm³,benzynowy
Łada 2103 21033 Sedan 1.3 70KM 51kW 1977-1983,2103,21033-sedan,silnik-benzynowy-1.3-70km-1977-1983,4,5,4116 mm,1611 mm,1440 mm,2424 mm,1365 mm,1321 mm,400 l,od 1977 do 1983 roku,1300 cm³,benzynowy,70 , (51 
Łada 2106 21065 Sedan 1.6 75KM 55kW 1976-1990,2106,21065-sedan,silnik-benzynowy-1.6-75km-1976-1990,4,5,4166 mm,1611 mm,1700 mm,1440 mm,2424 mm,1365 mm,1611 mm,650 mm,1092 mm,325 l,od 1976 do 1990 roku,1569 cm³
Lamborghini Veneno Roadster 6.5 751KM 552kW od 2014,veneno,roadster,silnik-benzynowy-6.5-751km-od-2014,2,5020 mm,2075 mm,1165 mm,2700 mm,od 2014 roku,6498 cm³,benzynowy,751 , (552 ,) przy 8400 obr/min,690 , przy 5500 obr/min,DOHC
Łada Niva 2121,lada,niva,2121,3,5,10.4 m,5.2 m,3740 mm,1680 mm,1814 mm,1640 mm,2200 mm,1430 mm,1400 mm,705 mm,835 mm,220 mm
Lamborghini Huracan Spyder 5.2 610KM 449kW od 2014,huracan,spyder,silnik-benzynowy-5.2-610km-od-2014,2,4460 mm,1923 mm,1166 mm,2619 mm,1669 mm,1621 mm,135 mm,od 2014 roku,5204 cm³,benzynowy,610 , (449 ,) przy 8250 obr/min
Łada Kalina Kombi 1.6i 81KM 60kW 2007-2016,kalina,kombi,silnik-benzynowy-1.6i-81km-2007-2016,4,5,4040 mm,1700 mm,1500 mm,2470 mm,1430 mm,1410 mm,740 mm,830 mm,od 2007 do 2016 roku,1596 cm³,benzynowy,81 
Lamborghini Huracan Coupe 5.2 610KM 449kW od 2014,huracan,coupe,silnik-benzynowy-5.2-610km-od-2014,2,4460 mm,1923 mm,1166 mm,2619 mm,1669 mm,1621 mm,135 mm,od 2014 roku,5204 cm³,benzynowy,610 , (449 ,) przy 8250 obr/min
Lamborghini Veneno Coupe 6.5 751KM 552kW od 2014,veneno,coupe,silnik-benzynowy-6.5-751km-od-2014,2,2,5020 mm,2075 mm,1165 mm,2700 mm,od 2014 roku,6498 cm³,benzynowy,751 , (552 ,) przy 8400 obr/min,690 , przy 5500 obr/min
Lamborghini Aventador 2014,aventador,coupe,silnik-benzynowy-6.5-700km-od-2015,2,2,4780 mm,2030 mm,2265 mm,1136 mm,2700 mm,1720 mm,1700 mm,od 2015 roku,6498 cm³,benzynowy,700 , (515 
Łada Niva 21312 1.8 82KM 60kW 1995-2004,niva,21312,silnik-benzynowy-1.8-82km-1995-2004,3,5,3740 mm,1680 mm,1814 mm,1640 mm,2200 mm,1430 mm,1400 mm,705 mm,835 mm,od 1995 do 2004 roku,1774 cm³,benzynowy
Lamborghini Aventador Roadster 6.5 700KM 515kW od 2015,aventador,roadster,silnik-benzynowy-6.5-700km-od-2015,2,2,12.5 m,6.2 m,4780 mm,2030 mm,2265 mm,1136 mm,2700 mm,1720 mm,1700 mm,60 l,od 2015 roku,6498 cm³
Cupra Formentor Crossover 2.0 TSI 310KM 2020,cupra,formentor,crossover,5,5,10.7 m,4450 mm,1839 mm,1992 mm,1511 mm,1528 mm,2680 mm,1585 mm,1559 mm,893 mm,877 mm,165 mm
Cupra Formentor Crossover PHEV,cupra,formentor,crossover-phev,5,5,10.7 m,4450 mm,1839 mm,1992 mm,1511 mm,1528 mm,2680 mm,1585 mm,1559 mm,893 mm,877 mm,177 mm
GAZ 24 II,gaz,24,ii,4,5,13.2 m,6.6 m,4735 mm,1800 mm,1476 mm,2800 mm,1496 mm,1428 mm,180 mm,1495 mm,1495 mm,540 l
Cupra Ateca Crossover Facelifting 2.0 TSI 300KM 221kW od 2020,ateca,crossover-facelifting,silnik-benzynowy-2.0-tsi-300km-od-2020,5,5,10.8 m,5.4 m,4386 mm,1841 mm,2078 mm,1599 mm,1613 mm,2630 mm,1575 mm,1549 mm,877 mm,879 mm
Cupra Ateca Crossover 2.0 TSI 300KM 221kW 2018-2020,ateca,crossover,silnik-benzynowy-2.0-tsi-300km-2018-2020,5,5,10.8 m,5.4 m,4363 mm,1841 mm,2078 mm,1581 mm,1595 mm,2638 mm,1576 mm,1541 mm,868 mm,857 mm
Dodge Viper III 2013,viper,i,silnik-benzynowy-8.0-v10-406km-1992-1996,2,2,12.4 m,4448 mm,1923 mm,1115 mm,2443 mm,1514 mm,1539 mm,935 mm,1379 mm,334 l,od 1992 do 1996 roku,7994 cm³
Daihatsu Opti I 0.7 58KM 43kW 1992-1997,opti,i,silnik-benzynowy-0.7-58km-1992-1997,3,9.0 m,3295 mm,1395 mm,1395 mm,2280 mm,1220 mm,1210 mm,od 1992 do 1997 roku,659 cm³,benzynowy,58 , (43 ,) przy 7600 obr/min
Daihatsu Opti II 0.7 58KM 43kW 1997-2007,opti,ii,silnik-benzynowy-0.7-58km-1997-2007,4,8.6 m,3395 mm,1475 mm,1405 mm,2360 mm,1320 mm,1300 mm,od 1997 do 2007 roku,659 cm³,benzynowy,58 , (43 ,) przy 7600 obr/min
Daihatsu Feroza Cabrio 1.6 i 16V 95KM 70kW 1988-1997,feroza,cabrio,silnik-benzynowy-1.6-i-16v-95km-1988-1997,3,4,10.2 m,3785 mm,1635 mm,1720 mm,2175 mm,1335 mm,1335 mm,920 l,295 l,od 1988 do 1997 roku,1589 cm³,benzynowy
Daihatsu Feroza Standard 1.6 i 16V 95KM 70kW 1988-1997,feroza,standard,silnik-benzynowy-1.6-i-16v-95km-1988-1997,3,4,10.2 m,3770 mm,1590 mm,1720 mm,2175 mm,1335 mm,1335 mm,440 l,272 l,od 1988 do 1997 roku,1589 cm³,benzynowy
Daihatsu Terios II 1.5 16V 105KM 2010,daihatsu,terios,ii,5,5,4055 mm,1695 mm,1680 mm,1730 mm,2580 mm,1450 mm,1460 mm,675 mm,800 mm,200 mm,755 l,380 l
Chatenet Crossover SXZ CH30 0.5 Lombardini MPI 20KM 15kW 2016-2019,crossover-sxz,ch30,silnik-benzynowy-0.5-lombardini-mpi-20km-2016-2019,2,2,8.0 m,4.0 m,3065 mm,1567 mm,1453 mm,2054 mm,107 mm,150 l,od 2016 do 2019 roku,505 cm³,benzynowy,20 
Chatenet Crossover SXZ CH26 0.5 Lombardini MPI 5KM 4kW 2016-2019,crossover-sxz,ch26,silnik-benzynowy-0.5-lombardini-mpi-5km-2016-2019,2,2,8.0 m,4.0 m,3065 mm,1567 mm,1453 mm,2054 mm,107 mm,150 l,od 2016 do 2019 roku,505 cm³,benzynowy,5 
Chatenet CH32 Kombi 0.5Y 5KM 4kW 2015-2019,ch32,kombi,silnik-diesla-0.5y-5km-2015-2019,2,2,9.6 m,4.8 m,3215 mm,1567 mm,1475 mm,2054 mm,220 mm,1080 l,600 l,od 2015 do 2019 roku,523 cm³,diesel
Daihatsu Cuore IV 0.8 i 44KM 32kW 1995-1999,cuore,iv,silnik-benzynowy-0.8-i-44km-1995-1999,3,4,3410 mm,1475 mm,1420 mm,2345 mm,1330 mm,1300 mm,585 mm,480 mm,145 mm,186 l,od 1995 do 1999 roku,847 cm³
Daihatsu Cuore VI 2006,cuore,vi,silnik-benzynowy-1.0-i-58km-2003-2007,3,4,3410 mm,1475 mm,1420 mm,2345 mm,430 l,155 l,od 2003 do 2007 roku,989 cm³,benzynowy,58 , (43 ,) przy 5200 obr/min
Daihatsu Cuore V 1.0 55KM 40kW 1999-2003,cuore,v,silnik-benzynowy-1.0-55km-1999-2003,5,5,3410 mm,1475 mm,1420 mm,2345 mm,1330 mm,1300 mm,585 mm,480 mm,145 mm,830 l,186 l,od 1999 do 2003 roku
Daihatsu Cuore III 0.8 41KM 30kW 1990-1994,cuore,iii,silnik-benzynowy-0.8-41km-1990-1994,3,4,3295 mm,1395 mm,1410 mm,2280 mm,1215 mm,1205 mm,409 l,188 l,od 1990 do 1994 roku,847 cm³,benzynowy,41 
Daihatsu Applause II 1.6 16V 99KM 73kW 1997-2000,applause,ii,silnik-benzynowy-1.6-16v-99km-1997-2000,5,5,4350 mm,1660 mm,1385 mm,2470 mm,765 l,410 l,od 1997 do 2000 roku,1590 cm³,benzynowy,99 , (73 ,) przy 6000 obr/min
Daihatsu Cuore VII 1.0 i 70KM 2009,cuore,vii,silnik-benzynowy-1.0-i-70km-od-2007,5,4,10.2 m,5.1 m,3470 mm,1475 mm,1530 mm,2490 mm,1310 mm,1305 mm,550 mm,420 mm,140 mm,160 l
Dodge Challenger III,dodge,challenger,iii,2,4,11.9 m,5023 mm,1923 mm,1449 mm,2946 mm,1603 mm,1604 mm,145 mm,999 mm,950 mm,1477 mm,1368 mm
Dodge Charger VII,dodge,charger,vii,4,5,11.5 m,5.8 m,5040 mm,1905 mm,1479 mm,1610 mm,1620 mm,137 mm,1061 mm,981 mm,931 mm,1510 mm
Dodge Charger V,dodge,charger,v,4,5,11.9 m,5082 mm,1891 mm,1469 mm,3048 mm,1600 mm,1603 mm,983 mm,919 mm,1506 mm,1463 mm,460 l
Dodge Ram V 5.7 HEMI 401KM 295kW od 2019,ram,v,silnik-benzynowy-5.7-hemi-401km-od-2019,4,5,12.5 m,6.2 m,5916 mm,2085 mm,1971 mm,3673 mm,1740 mm,1730 mm,208 mm,221 mm,1526 l,14.6 °
Dodge Avenger II 2.0 CRD 140KM 2008,dodge,avenger,ii,4,5,11.7 m,4848 mm,1824 mm,1495 mm,2765 mm,1570 mm,1570 mm,1016 mm,973 mm,1433 mm,1430 mm,438 l
Cadillac DeVille II,cadillac,deville,ii,2,5484 mm,2032 mm,1499 mm,3289 mm,1549 mm,1549 mm,178 mm,889 mm,886 mm,1656 mm,1651 mm,1499 mm,1448 mm
Cadillac DeVille I 5.4 200KM 147kW 1949-1954,deville,i,silnik-benzynowy-5.4-200km-1949-1954,2,2,13.7 m,6.8 m,5458 mm,2037 mm,1427 mm,3277 mm,1499 mm,1600 mm,od 1949 do 1954 roku,5425 cm³,benzynowy,200 
Cadillac DeVille IV 7.7 380KM 279kW 1964-1968,deville,iv,silnik-benzynowy-7.7-380km-1964-1968,2,5677 mm,2026 mm,1391 mm,3289 mm,1550 mm,1550 mm,od 1964 do 1968 roku,7729 cm³,benzynowy,380 , (279 ,) przy 4400 obr/min,712 
